FEATURE AREA,FEATURE AREA COVERAGE
Commissioning-BTS Settings (except toggle fault),50.67%
Commissioning-Local Cell Group,35.61%
Commissioning-LTE Carrier,30.60%
Commissioning-Local Cell Resource,26.60%
Commissioning-Local Cell Settings,0.00%
"Commissioning EAC (System Module External Fault and Control Settings), EAC for FHS, EAC in XLF XLC",31.43%
Commissioning-Site Testing,20.30%
Commissioning-Module Settings,43.75%
Commissioning-Configuration Change Notifications (CCNs),69.57%
Commissioning-ALD area,44.47%
Commissioning-BTS Synchronization Settings,53.68%
Commissioning-LTE Commissioning Radio Network Configuration (PDDB)/Commissioning-RNW,39.28%
Commissioning-Concurrent Mode Settings,24.54%
Commissioning-Additional Site Settings,39.68%






FEATURE AREA,FEATURE AREA COVERAGE,CLASS,CLASS COVERAGE,LINE_MISSED,LINE_COVERED,METHOD_MISSED,METHOD_COVERED
,,com.hahaqu.em.bts.common.component.module.UnitGroupButton$AntennaRaeDialogActionListener,33.33%,2,1,1,1
,,com.hahaqu.em.bts.common.pm.GroupNode,100.00%,0,2,0,1
,,com.hahaqu.em.bts.common.pm.PIGroupModel,42.05%,51,37,21,18
,,com.hahaqu.em.bts.common.commissioning.view.eqview.BBHighlightedEQView,0.00%,17,0,2,0
,,com.hahaqu.em.bts.common.commissioning.scf.raml.BBMODBean,0.00%,61,0,25,0
,,com.hahaqu.em.bts.common.commissioning.scf.raml.CellGroupBean,0.00%,14,0,5,0
,,com.hahaqu.em.bts.common.hwmodel.RFGroupModel,65.41%,55,104,13,27
,,com.hahaqu.em.bts.common.hwmodel.FANGroupModel,38.89%,11,7,1,3
,,com.hahaqu.em.bts.common.hwmodel.CellGroupModel,0.00%,135,0,37,0
,,com.hahaqu.em.bts.common.hwmodel.BBPowerModel,0.00%,4,0,2,0
,,com.hahaqu.em.bts.common.hwmodel.TXGroupModel,41.18%,70,49,15,12
,,com.hahaqu.em.bts.common.hwmodel.RXGroupModel,40.00%,42,28,7,6
,,com.hahaqu.em.bts.common.hwmodel.BBModel,49.90%,486,484,80,116
,,com.hahaqu.em.bts.common.hwmodel.AnotherTechnologyBBModel,0.00%,15,0,5,0
,,com.hahaqu.em.bts.common.hwmodel.BBModel$2,50.00%,1,1,1,1
,,com.hahaqu.em.bts.common.hwmodel.BBModel$3,100.00%,0,2,0,2
,,com.hahaqu.em.bts.common.hwmodel.BBModel$1,66.67%,2,4,0,2
,,com.hahaqu.em.bts.common.hwmodel.CoreBBModel,30.00%,21,9,6,3
,,com.hahaqu.em.bts.common.commissioning.core.HWSelectionGroupInitializer,58.97%,16,23,2,5
Commissioning-LTE Carrier,30.60%,com.hahaqu.em.bts.gui.lte.commissioning.model.LTECarrierModel$UpLinkCarrierProvider,100.00%,0,3,0,3
,,com.hahaqu.em.bts.gui.lte.commissioning.model.NBIoTStandaloneCarrier,0.00%,5,0,3,0
,,com.hahaqu.em.bts.gui.lte.commissioning.model.LTECarrierModel$DownLinkCarrierProvider,100.00%,0,3,0,3
,,com.hahaqu.em.bts.gui.lte.commissioning.model.LTECarrierModel,36.82%,1659,967,186,165
,,com.hahaqu.em.bts.gui.lte.commissioning.model.LTECarrierModel$CarrierTableValueMediator,20.16%,99,25,6,6
,,com.hahaqu.em.bts.gui.lte.commissioning.model.LTECarrier,42.89%,225,169,28,42
,,com.hahaqu.em.bts.gui.lte.commissioning.model.LTECarrierModel$ExceedMaxBandWidthMessage,16.90%,59,12,8,3
,,com.hahaqu.em.bts.gui.lte.commissioning.model.NBIoTInBandCarrier,0.00%,24,0,13,0
,,com.hahaqu.em.bts.gui.lte.commissioning.model.SubCellCarrierPowerTableModel,13.58%,70,11,15,4
,,com.hahaqu.em.bts.gui.lte.commissioning.model.LTECarrierTableModel,83.12%,13,64,0,12
,,com.hahaqu.em.bts.gui.lte.commissioning.model.LTECarrier$1,0.00%,4,0,2,0
,,com.hahaqu.em.bts.gui.tdlte.commissioning.model.scfprocessor.TDLTECarrier,0.00%,5,0,3,0
,,com.hahaqu.em.bts.gui.tdlte.commissioning.model.scfprocessor.TDLTECarrierSCFProcessor,0.00%,110,0,13,0
,,com.hahaqu.em.bts.common.component.module.CDMACarriersTableModel,0.00%,20,0,7,0
,,com.hahaqu.em.bts.gui.tdlte.commissioning.model.initializer.TDLTECarrierInitializer,0.00%,10,0,2,0
,,com.hahaqu.em.bts.gui.lte.component.siteinfo.model.LTECarrierSiteInfoModel,0.00%,58,0,11,0
,,com.hahaqu.em.bts.gui.lte.component.siteinfo.model.LTECarrierSiteInfoModel$1,0.00%,8,0,2,0
,,com.hahaqu.em.bts.gui.lte.commissioning.model.initializer.LTECarrierInitializer,100.00%,0,53,0,8
,,com.hahaqu.em.bts.common.test.DualCarrier,0.00%,19,0,10,0
,,com.hahaqu.em.bts.gui.tdlte.commissioning.model.validator.current.TDLTECarrierValidator,0.00%,9,0,2,0
,,com.hahaqu.em.bts.gui.tdlte.commissioning.model.validator.current.TDLTECarrierModelValidator,0.00%,149,0,17,0
,,com.hahaqu.em.bts.gui.lte.commissioning.model.validator.relatedcondition.NBIOTPRNprachNumSubcarriersValidator,75.76%,8,25,0,3
,,com.hahaqu.em.bts.gui.lte.commissioning.model.validator.relatedcondition.ANRPRWutraCarrierFreqValidator,100.00%,0,6,0,2
,,com.hahaqu.em.bts.gui.lte.commissioning.model.validator.relatedcondition.ANRPRXRttCarrierFreqValidator,10.71%,100,12,9,5
,,com.hahaqu.em.bts.gui.lte.commissioning.model.validator.relatedcondition.SimilarUtraCarrierFreq,12.70%,110,16,5,5
,,com.hahaqu.em.bts.gui.lte.commissioning.model.validator.relatedcondition.NBIOTPRNprachNumSubcarriersValidator$ParentParametesrs,100.00%,0,2,1,3
,,com.hahaqu.em.bts.gui.lte.commissioning.model.validator.relatedcondition.SlimCarrierValidator,28.57%,55,22,2,2
,,com.hahaqu.em.bts.gui.lte.commissioning.model.validator.relatedcondition.MAASameCarrierValidator,12.89%,169,25,14,3
,,com.hahaqu.em.bts.gui.lte.commissioning.model.validator.relatedcondition.SimilarUtraCarrierFreq$1,0.00%,2,0,2,0
,,com.hahaqu.em.bts.gui.lte.commissioning.model.validator.relatedcondition.EutraCarrierInfoValidator,18.60%,70,16,8,7
,,com.hahaqu.em.bts.gui.lte.commissioning.model.validator.relatedcondition.LNCELFDDActDlSlimCarrierValidator,17.39%,57,12,5,6
,,com.hahaqu.em.bts.gui.tdlte.component.model.TDLTECarrierTableModel,0.00%,3,0,2,0
,,com.hahaqu.em.bts.gui.lte.commissioning.model.scfprocessor.LTECarrierSCFProcessor,64.00%,81,144,4,20
,,com.hahaqu.em.bts.common.commissioning.model.CarrierTable,37.50%,10,6,2,2
,,com.hahaqu.em.bts.common.commissioning.model.CarrierTableModel,40.00%,24,16,6,5
