FEATURE AREA,FEATURE AREA COVERAGE
Commissioning-BTS Settings (except toggle fault),50.67%
Commissioning-Local Cell Group,35.61%
Commissioning-LTE Carrier,30.60%
Commissioning-Local Cell Resource,26.60%
Commissioning-Local Cell Settings,0.00%
"Commissioning EAC (System Module External Fault and Control Settings), EAC for FHS, EAC in XLF XLC",31.43%
Commissioning-Site Testing,20.30%
Commissioning-Module Settings,43.75%
Commissioning-Configuration Change Notifications (CCNs),69.57%
Commissioning-ALD area,44.47%
Commissioning-BTS Synchronization Settings,53.68%
Commissioning-LTE Commissioning Radio Network Configuration (PDDB)/Commissioning-RNW,39.28%
Commissioning-Concurrent Mode Settings,24.54%
Commissioning-Additional Site Settings,39.68%






FEATURE AREA,FEATURE AREA COVERAGE,CLASS,CLASS COVERAGE,LINE_MISSED,LINE_COVERED,METHOD_MISSED,METHOD_COVERED
,,com.hahaqu.em.bts.gui.lte.commissioning.model.validator.relatedcondition.AbstractLNCELdlCellPwrRed,87.72%,7,50,0,10
,,com.hahaqu.em.bts.gui.lte.commissioning.model.validator.relatedcondition.LNCELPhyCellIdInbandValidator,25.42%,44,15,1,2
,,com.hahaqu.em.bts.gui.lte.commissioning.model.validator.relatedcondition.LNFLNCELSubCellConfValidator,10.34%,26,3,2,2
,,com.hahaqu.em.bts.gui.lte.commissioning.model.validator.relatedcondition.LNCELDefaultLnRelGnbCellIdValidator,36.11%,23,13,1,3
,,com.hahaqu.em.bts.gui.lte.commissioning.model.validator.relatedcondition.LNCELPhyCellIdRangeValidator,27.82%,96,37,22,5
,,com.hahaqu.em.bts.gui.lte.commissioning.model.validator.relatedcondition.NRDCPRLcrIdValidator,21.95%,32,9,1,3
,,com.hahaqu.em.bts.gui.lte.commissioning.model.validator.relatedcondition.NRDCDPRLcrIdValidator,21.95%,32,9,1,3
,,com.hahaqu.em.bts.gui.lte.commissioning.model.validator.relatedcondition.PSGRPLbpsCellListLbpsLbpsCellSOOrderValidator,21.43%,33,9,3,2
,,com.hahaqu.em.bts.gui.lte.commissioning.model.validator.relatedcondition.LNFLNCELdlCellPwrRedValidator,7.69%,36,3,0,2
,,com.hahaqu.em.bts.common.commissioning.view.eqview.LCREQView,86.36%,6,38,0,3
,,com.hahaqu.em.bts.common.commissioning.view.eqview.LocalCellSettingsEQView,0.00%,22,0,2,0
,,com.hahaqu.em.bts.gui.lte.commissioning.model.scfprocessor.LTELCRModelSCFProcessor,57.49%,349,472,24,54
,,com.hahaqu.em.bts.gui.lnz.commissioning.controller.LNZLCRController,0.00%,110,0,14,0
,,com.hahaqu.em.bts.common.util.fixme.UniquePhyCellIdValidationFixer,0.00%,13,0,2,0
,,com.hahaqu.em.bts.common.commissioning.model.LocalCellSettingsModel$OtherBBUMainsPowerAlarmIdDocumentListener,0.00%,15,0,5,0
,,com.hahaqu.em.bts.common.commissioning.model.LocalCellSettingsModel,0.00%,216,0,55,0
,,com.hahaqu.em.bts.common.commissioning.model.LCRModel,41.71%,408,292,71,64
,,com.hahaqu.em.bts.common.commissioning.model.LocalCellSettingsModel$myIntegerDocument,0.00%,9,0,2,0
,,com.hahaqu.em.bts.common.commissioning.model.LocalCellSettingsModel$LocalCellListModel,0.00%,3,0,3,0
,,com.hahaqu.em.bts.common.commissioning.model.LCRTableModel,91.67%,1,11,0,6
,,com.hahaqu.em.bts.common.commissioning.model.LCRModel$CellParametersHolder,37.50%,20,12,10,5
,,com.hahaqu.em.bts.common.commissioning.model.LCRModel$AntennaParametersHolder,46.15%,7,6,4,3
,,com.hahaqu.em.bts.gui.tdlte.hwmodel.TDLTECellModel,0.00%,86,0,24,0
,,com.hahaqu.em.bts.gui.lte.component.module.LTECell,15.87%,106,20,17,3
,,com.hahaqu.em.bts.gui.lte.commissioning.view.rnwsearch.SearchResulltsShortDescriptionCellRenderer,18.52%,22,5,1,2
,,com.hahaqu.em.bts.gui.lte.commissioning.view.rnwsearch.SearchResultsShortDescriptionCellEditor,15.69%,43,8,4,3
,,com.hahaqu.em.bts.gui.lte.commissioning.model.validator.relatedcondition.helper.CellConfigurationCountInfo$CellConfiguration,100.00%,0,16,0,8
,,com.hahaqu.em.bts.gui.lte.commissioning.model.validator.relatedcondition.helper.CellConfigurationKeyFactory,0.00%,136,0,13,0
,,com.hahaqu.em.bts.gui.lte.commissioning.model.validator.relatedcondition.helper.LCELLUtils,86.18%,17,106,1,16
,,com.hahaqu.em.bts.gui.lte.commissioning.model.validator.relatedcondition.helper.CellConfigKeyEnum,0.00%,81,0,5,0
,,com.hahaqu.em.bts.gui.lte.commissioning.model.validator.relatedcondition.helper.CellTechnologyUtil,43.48%,13,10,7,5
,,com.hahaqu.em.bts.gui.lte.commissioning.model.validator.relatedcondition.helper.LCELLInfo,80.56%,7,29,7,13
,,com.hahaqu.em.bts.gui.lte.commissioning.model.validator.relatedcondition.helper.CellConfigurationCountInfo,65.97%,49,95,10,22
,,com.hahaqu.em.bts.gui.lte.commissioning.model.validator.relatedcondition.helper.MFIREPRuCellChannelSListHelper,0.00%,6,0,4,0
,,com.hahaqu.em.bts.common.component.xml.XMLCell,0.00%,105,0,7,0
,,com.hahaqu.em.bts.gui.tdlte.commissioning.model.validator.relatedcondition.TDLNRELGNBCELLnrCellIdValidator,0.00%,3,0,2,0
,,com.hahaqu.em.bts.gui.tdlte.commissioning.model.validator.relatedcondition.TDCellTechMandatoryMOValidator,0.00%,6,0,5,0
,,com.hahaqu.em.bts.gui.tdlte.commissioning.model.validator.relatedcondition.TDLTRACECellIdValidator,0.00%,3,0,2,0
,,com.hahaqu.em.bts.gui.tdlte.commissioning.model.validator.relatedcondition.TDLNCELdlCellPwrRedValidator,0.00%,87,0,5,0
,,com.hahaqu.em.bts.gui.tdlte.commissioning.model.validator.relatedcondition.TDLNHENBcellIndOffValidator,0.00%,3,0,2,0
,,com.hahaqu.em.bts.gui.tdlte.commissioning.model.validator.relatedcondition.TDCOMPCONFmeasBasedCellConfValidator,0.00%,3,0,2,0
,,com.hahaqu.em.bts.gui.tdlte.commissioning.model.validator.relatedcondition.LNZLNCELdlCellPwrRedValidator,0.00%,3,0,2,0
,,com.hahaqu.em.bts.gui.tdlte.commissioning.model.validator.relatedcondition.TDNRDCDPRLcrIdValidator,0.00%,1,0,1,0
,,com.hahaqu.em.bts.gui.tdlte.commissioning.model.validator.relatedcondition.TDLCELLsmodDNValidator,0.00%,1,0,1,0
,,com.hahaqu.em.bts.gui.tdlte.commissioning.model.validator.relatedcondition.TDLTRACEloggedCellConfValidator,0.00%,3,0,2,0
,,com.hahaqu.em.bts.gui.tdlte.commissioning.model.validator.relatedcondition.TDLNCELcellResourceGroupPrIdValidator,0.00%,3,0,2,0
,,com.hahaqu.em.bts.gui.tdlte.commissioning.model.validator.relatedcondition.TDLNCELDefaultLnRelGnbCellIdValidator,0.00%,3,0,2,0
,,com.hahaqu.em.bts.gui.tdlte.commissioning.model.validator.relatedcondition.TDLNHBDcellIndOffValidator,0.00%,3,0,2,0
,,com.hahaqu.em.bts.gui.tdlte.commissioning.model.validator.relatedcondition.LNZLNCELActSuperCellValidator,0.00%,106,0,22,0
,,com.hahaqu.em.bts.gui.tdlte.commissioning.model.validator.relatedcondition.TDLNCELPhyCellIdRangeValidator,0.00%,7,0,5,0
,,com.hahaqu.em.bts.gui.tdlte.commissioning.model.validator.relatedcondition.TDPSGRPLbpsCellListLbpsLbpsCellSOOrderValidator,0.00%,3,0,2,0
,,com.hahaqu.em.bts.gui.tdlte.commissioning.model.validator.relatedcondition.TDULCompCellListValidator,0.00%,57,0,5,0
,,com.hahaqu.em.bts.gui.tdlte.commissioning.model.validator.relatedcondition.TDNRDCPRLcrIdValidator,0.00%,1,0,1,0
,,com.hahaqu.em.bts.gui.lte.commissioning.model.validator.current.LNUPRuCellChannelSListValidator$2,0.00%,4,0,1,0
,,com.hahaqu.em.bts.gui.lte.commissioning.model.validator.current.LNUPRuCellChannelSListValidator$1,0.00%,4,0,1,0
,,com.hahaqu.em.bts.gui.lte.commissioning.model.validator.current.LNUPRuCellChannelSListValidator$9,0.00%,4,0,1,0
,,com.hahaqu.em.bts.gui.lte.commissioning.model.validator.current.LNUPRuCellChannelSListValidator$8,0.00%,4,0,1,0
,,com.hahaqu.em.bts.gui.lte.commissioning.model.validator.current.LNUPRuCellChannelSListValidator$7,0.00%,4,0,1,0
,,com.hahaqu.em.bts.gui.lte.commissioning.model.validator.current.LNUPRuCellChannelSListValidator$6,0.00%,4,0,1,0
,,com.hahaqu.em.bts.gui.lte.commissioning.model.validator.current.LNUPRuCellChannelSListValidator$5,0.00%,4,0,1,0
,,com.hahaqu.em.bts.gui.lte.commissioning.model.validator.current.LNUPRuCellChannelSListValidator$4,0.00%,4,0,1,0
,,com.hahaqu.em.bts.gui.lte.commissioning.model.validator.current.LNUPRuCellChannelSListValidator$3,0.00%,4,0,1,0
,,com.hahaqu.em.bts.gui.lte.commissioning.model.validator.current.LTELCRModelValidator,23.66%,668,207,57,38
,,com.hahaqu.em.bts.gui.lte.commissioning.model.validator.current.LNUPRuCellChannelSListValidator,2.96%,821,25,107,12
,,com.hahaqu.em.bts.gui.lte.commissioning.model.validator.current.LNCELLnuprIdValidatorExtension,21.43%,132,36,27,16
,,com.hahaqu.em.bts.gui.lte.commissioning.model.validator.current.LTECellModelValidator,50.00%,4,4,0,2
,,com.hahaqu.em.bts.gui.lte.commissioning.model.validator.current.LNUPRuCellChannelSListValidator$11,0.00%,4,0,1,0
,,com.hahaqu.em.bts.gui.lte.commissioning.model.validator.current.LNUPRuCellChannelSListValidator$10,0.00%,4,0,1,0
,,com.hahaqu.em.bts.gui.lte.commissioning.model.validator.current.LNUPRuCellChannelSListValidator$12,0.00%,4,0,1,0
,,com.hahaqu.em.bts.gui.lte.commissioning.model.validator.current.LNUPRuCellChannelSListValidator$InformationSpy,0.00%,7,0,1,0
,,com.hahaqu.em.bts.common.commissioning.model.validator.LocalCellSettingsModelValidator,0.00%,21,0,3,0
,,com.hahaqu.em.bts.common.commissioning.model.validator.CellModelValidator,12.50%,7,1,1,1
,,com.hahaqu.em.bts.common.commissioning.model.validator.LCRModelValidator,48.98%,25,24,5,4
,,com.hahaqu.em.bts.gui.tdlte.component.siteinfo.model.TDLTELCRSiteInfoModel,0.00%,80,0,9,0
,,com.hahaqu.em.bts.gui.tdlte.component.siteinfo.model.TDLTELCRSiteInfoModel$2,0.00%,8,0,2,0
,,com.hahaqu.em.bts.gui.tdlte.component.siteinfo.model.TDLTELCRSiteInfoModel$1,0.00%,8,0,2,0
,,com.hahaqu.em.bts.common.commissioning.scf.raml.CellBean$1,0.00%,8,0,2,0
,,com.hahaqu.em.bts.common.commissioning.scf.raml.LTECellBean$1,0.00%,7,0,2,0
,,com.hahaqu.em.bts.common.commissioning.scf.raml.RNWCellBean,23.53%,13,4,5,3
,,com.hahaqu.em.bts.common.commissioning.scf.raml.LTECellBean,20.31%,51,13,9,6
,,com.hahaqu.em.bts.common.commissioning.scf.raml.CellBean,30.85%,65,29,11,3
,,com.hahaqu.em.bts.common.commissioning.scf.raml.CellMappingBean,45.00%,11,9,4,3
,,com.hahaqu.em.bts.common.commissioning.scf.raml.CellGroupBean,0.00%,14,0,5,0
,,com.hahaqu.em.bts.common.commissioning.scf.raml.FZCCellBean$1,0.00%,7,0,2,0
,,com.hahaqu.em.bts.common.commissioning.scf.raml.FZCCellBean,0.00%,60,0,13,0
,,com.hahaqu.em.bts.gui.tlap.component.module.APCell,0.00%,7,0,6,0
,,com.hahaqu.em.bts.gui.lnf.component.siteinfo.model.helper.LNFLCRHelper,0.00%,3,0,2,0
,,com.hahaqu.em.bts.common.hwmodel.AbstractCellModel$AntennaId,69.23%,8,18,0,5
,,com.hahaqu.em.bts.common.hwmodel.CellGroupModel,0.00%,135,0,37,0
,,com.hahaqu.em.bts.common.hwmodel.AbstractCellModel$2,0.00%,1,0,1,0
,,com.hahaqu.em.bts.common.hwmodel.AbstractCellModel$1,0.00%,4,0,2,0
,,com.hahaqu.em.bts.common.hwmodel.AbstractCellModel,42.29%,782,573,161,125
,,com.hahaqu.em.bts.common.hwmodel.CellPower,71.79%,33,84,7,18
,,com.hahaqu.em.bts.common.hwmodel.ExtPIMCancellationModel,0.00%,50,0,15,0
,,com.hahaqu.em.bts.gui.lte.eqview.block.LTECellBlockUnblock,0.00%,7,0,4,0
,,com.hahaqu.em.bts.gui.lte.view.action.rules.impl.DisableOnCellHasNoTestModelsRule,78.08%,16,57,0,7
,,com.hahaqu.em.bts.common.setrnd.view.table.SetRNDCellEditorFactory,0.00%,46,0,8,0
,,com.hahaqu.em.bts.common.component.siteinfo.model.helper.LCRHelper$2,0.00%,9,0,3,0
,,com.hahaqu.em.bts.common.component.siteinfo.model.helper.LCRHelper$1,0.00%,4,0,2,0
,,com.hahaqu.em.bts.common.component.siteinfo.model.helper.LCRHelper,0.00%,113,0,19,0
,,com.hahaqu.em.bts.gui.lnf.component.siteinfo.model.LNFLCRSiteInfoModel,0.00%,4,0,2,0
,,com.hahaqu.em.bts.common.commissioning.view.LCRView$11,0.00%,8,0,2,0
,,com.hahaqu.em.bts.common.commissioning.view.LCRView$10,0.00%,8,0,2,0
,,com.hahaqu.em.bts.common.commissioning.view.LCRView$RadioSiteIdTextField,0.00%,25,0,7,0
,,com.hahaqu.em.bts.common.commissioning.view.CommissioningStateIconListCellRenderer,85.00%,3,17,0,5
,,com.hahaqu.em.bts.common.commissioning.view.LCRView,48.32%,353,330,40,30
,,com.hahaqu.em.bts.common.commissioning.view.LCRView$CellListSelectionHandler,88.89%,1,8,0,2
,,com.hahaqu.em.bts.common.commissioning.view.LCRView$MyCellRenderer,80.00%,2,8,0,2
,,com.hahaqu.em.bts.common.commissioning.view.LCRView$1,0.00%,12,0,5,0
,,com.hahaqu.em.bts.common.commissioning.view.LCRView$3,20.00%,4,1,1,1
,,com.hahaqu.em.bts.common.commissioning.view.LCRView$2,0.00%,6,0,2,0
,,com.hahaqu.em.bts.common.commissioning.view.LCRView$5,33.33%,2,1,1,1
,,com.hahaqu.em.bts.common.commissioning.view.LCRView$4,33.33%,2,1,1,1
,,com.hahaqu.em.bts.common.commissioning.view.LCRView$7,6.67%,14,1,1,1
,,com.hahaqu.em.bts.common.commissioning.view.LCRView$6,33.33%,2,1,1,1
,,com.hahaqu.em.bts.common.commissioning.view.LCRView$9,33.33%,2,1,1,1
,,com.hahaqu.em.bts.common.commissioning.view.LCRView$8,25.00%,3,1,1,1
,,com.hahaqu.em.bts.common.srvc.view.keyfileconfiguration.custom.renderers.KeyFileConfigurationTextIconTableCellRenderer,0.00%,7,0,2,0
,,com.hahaqu.em.bts.common.srvc.view.keyfileconfiguration.custom.renderers.KeyFileConfigurationDefaultTableCellRenderer,0.00%,12,0,5,0
,,com.hahaqu.em.bts.gui.tdlte.commissioning.scf.TDLTENWCellBean,0.00%,50,0,26,0
,,com.hahaqu.em.bts.gui.tdlte.commissioning.scf.TDLTECellBean,0.00%,6,0,3,0
,,com.hahaqu.em.bts.common.commissioning.controller.LCRController,40.91%,52,36,4,5
,,com.hahaqu.em.bts.common.commissioning.controller.LocalCellSettingsController,0.00%,5,0,3,0
,,com.hahaqu.em.bts.gui.tdlte.commissioning.view.TDLTELCRView$5,0.00%,4,0,2,0
,,com.hahaqu.em.bts.gui.tdlte.commissioning.view.TDLTELCRView$4,0.00%,7,0,2,0
,,com.hahaqu.em.bts.gui.tdlte.commissioning.view.TDLTELCRView$3,0.00%,5,0,2,0
,,com.hahaqu.em.bts.gui.tdlte.commissioning.view.TDLTELCRView$2,0.00%,5,0,2,0
,,com.hahaqu.em.bts.gui.tdlte.commissioning.view.TDLTELCRView$1,0.00%,5,0,2,0
,,com.hahaqu.em.bts.gui.tdlte.commissioning.view.TDLTELCRView,0.00%,328,0,38,0
,,com.hahaqu.em.bts.gui.lnz.commissioning.model.LNZLCRModel,0.00%,58,0,16,0
,,com.hahaqu.em.bts.gui.lnz.commissioning.model.validator.TLFActFlexScellSelectRuleValidatorExtension,0.00%,6,0,3,0
,,com.hahaqu.em.bts.gui.lte.commissioning.view.CellTechnologyEnum,88.24%,2,15,2,8
,,com.hahaqu.em.bts.gui.lte.commissioning.view.CellTechnologyAndNBIOTModeEnum,77.78%,4,14,2,6
,,com.hahaqu.em.bts.gui.lte.commissioning.view.SpecificCellConfigEnum,100.00%,0,10,1,6
,,com.hahaqu.em.bts.gui.lte.commissioning.view.LTELCRView$SubCellCarrierPowerCellEditor,35.71%,9,5,2,1
,,com.hahaqu.em.bts.gui.lte.commissioning.view.LTELCRView,32.25%,1206,574,111,73
,,com.hahaqu.em.bts.gui.lte.commissioning.view.LTELCRView$SelectAllChkBox,0.00%,98,0,13,0
,,com.hahaqu.em.bts.gui.lte.commissioning.view.LTELCRView$11,5.56%,17,1,1,1
,,com.hahaqu.em.bts.gui.lte.commissioning.view.LTELCRView$10,16.67%,5,1,1,1
,,com.hahaqu.em.bts.gui.lte.commissioning.view.LTELCRView$SubCellSpinnerPTable,35.71%,9,5,3,1
,,com.hahaqu.em.bts.gui.lte.commissioning.view.LTELCRView$8,7.14%,13,1,1,1
,,com.hahaqu.em.bts.gui.lte.commissioning.view.LTELCRView$7,100.00%,0,5,0,1
,,com.hahaqu.em.bts.gui.lte.commissioning.view.LTELCRView$9,14.29%,6,1,1,1
,,com.hahaqu.em.bts.gui.lte.commissioning.view.LTELCRView$2,100.00%,0,6,0,1
,,com.hahaqu.em.bts.gui.lte.commissioning.view.LTELCRView$1,100.00%,0,3,0,2
,,com.hahaqu.em.bts.gui.lte.commissioning.view.LTELCRView$4,100.00%,0,5,0,1
,,com.hahaqu.em.bts.gui.lte.commissioning.view.LTELCRView$3,100.00%,0,4,0,1
,,com.hahaqu.em.bts.gui.lte.commissioning.view.LTELCRView$6,100.00%,0,4,0,1
,,com.hahaqu.em.bts.gui.lte.commissioning.view.LTELCRView$5,100.00%,0,3,0,1
,,com.hahaqu.em.bts.gui.tdlte.commissioning.model.TDLTELCRModel,0.00%,154,0,30,0
,,com.hahaqu.em.bts.gui.tdlte.commissioning.model.TDLTELCRModel$TDLTECellParametersHolder,0.00%,10,0,4,0
,,com.hahaqu.em.bts.gui.lnf.commissioning.controller.LNFLCRController,0.00%,105,0,15,0
,,com.hahaqu.em.bts.common.srvc.view.keyfileconfiguration.KeyFileConfigurationStateIconListCellRenderer,0.00%,13,0,3,0
,,com.hahaqu.em.bts.common.action.rules.impl.HideOnSmallCellRule,100.00%,0,3,0,1
,,com.hahaqu.em.bts.common.action.rules.impl.CellNotCommissionedRule,95.45%,1,21,0,5
,,com.hahaqu.em.bts.common.action.rules.impl.CellNotAllMIMOAndVAMRule,92.86%,1,13,0,4
,,com.hahaqu.em.bts.gui.tdlte.commissioning.controller.TDLTELCRController,0.00%,206,0,23,0
,,com.hahaqu.em.bts.gui.tdlte.commissioning.controller.TDLTELCRCellRules,0.00%,78,0,7,0
,,com.hahaqu.em.bts.gui.tdlte.commissioning.controller.TDLTELCRCellRules,0.00%,78,0,7,0
,,com.hahaqu.em.bts.gui.lnz.commissioning.view.LNZLCRView,0.00%,31,0,7,0
,,com.hahaqu.em.bts.gui.lnf.commissioning.view.LNFLCRView,0.00%,33,0,6,0
,,com.hahaqu.em.bts.gui.lte.commissioning.controller.LTELCRController,46.26%,237,204,6,39
,,com.hahaqu.em.bts.gui.lte.commissioning.controller.LTELCRCellRules,0.94%,105,1,19,1
,,com.hahaqu.em.bts.gui.lte.commissioning.controller.LTELCRCellRules,0.94%,105,1,19,1
,,com.hahaqu.em.bts.gui.flap.component.module.APCell,0.00%,7,0,6,0
Commissioning-Local Cell Settings,0.00%,com.hahaqu.em.bts.common.commissioning.view.eqview.LocalCellSettingsEQView,0.00%,22,0,2,0
,,com.hahaqu.em.bts.common.commissioning.model.LocalCellSettingsModel$OtherBBUMainsPowerAlarmIdDocumentListener,0.00%,15,0,5,0
,,com.hahaqu.em.bts.common.commissioning.model.LocalCellSettingsModel,0.00%,216,0,55,0
,,com.hahaqu.em.bts.common.commissioning.model.LocalCellSettingsModel$myIntegerDocument,0.00%,9,0,2,0
,,com.hahaqu.em.bts.common.commissioning.model.LocalCellSettingsModel$LocalCellListModel,0.00%,3,0,3,0
,,com.hahaqu.em.bts.common.commissioning.model.validator.LocalCellSettingsModelValidator,0.00%,21,0,3,0
,,com.hahaqu.em.bts.common.commissioning.controller.LocalCellSettingsController,0.00%,5,0,3,0
"Commissioning EAC (System Module External Fault and Control Settings), EAC for FHS, EAC in XLF XLC",31.43%,com.hahaqu.em.bts.gui.lnf.commissioning.model.validator.current.LNFSFNEACSettingsValidator,0.00%,51,0,13,0
,,com.hahaqu.em.bts.gui.lnf.commissioning.model.validator.current.LNFSystemEACSettingsValidator,0.00%,42,0,10,0
,,com.hahaqu.em.bts.gui.lte.commissioning.model.LTEEACSettingsModel,87.14%,9,61,1,14
,,com.hahaqu.em.bts.gui.lte.commissioning.model.LTEEACSettingsFHSModel,77.78%,2,7,0,3
,,com.hahaqu.em.bts.gui.lte.commissioning.model.LTEEACSettingsUIModel,73.17%,11,30,0,3
,,com.hahaqu.em.bts.gui.lte.commissioning.model.LTEEACRadioSettingsModel,100.00%,0,7,0,2
,,com.hahaqu.em.bts.gui.lte.commissioning.model.LTEEACSettingsControlsTableModel,33.33%,4,2,2,1
,,com.hahaqu.em.bts.gui.lnf.commissioning.model.LNFSystemEACSettingsModel,0.00%,62,0,11,0
,,com.hahaqu.em.bts.gui.lnf.commissioning.model.LNFSFNEACSettingsModel,0.00%,82,0,15,0
,,com.hahaqu.em.bts.gui.lnf.commissioning.view.eqview.LNFSFNEACSettingsEqView,0.00%,9,0,2,0
,,com.hahaqu.em.bts.gui.lnf.commissioning.view.eqview.LNFSystemEACSettingsEqView,0.00%,9,0,2,0
,,com.hahaqu.em.bts.common.commissioning.model.mdinitializer.EACSettingsRAMLMetadataInitializer,100.00%,0,24,0,2
,,com.hahaqu.em.bts.gui.lnf.commissioning.model.scfprocessor.LNFSystemEACSettingsSCFProcessor,0.00%,70,0,8,0
,,com.hahaqu.em.bts.gui.lnf.commissioning.model.scfprocessor.LNFSFNEACSettingsSCFProcessor,0.00%,77,0,12,0
,,com.hahaqu.em.bts.gui.lte.commissioning.model.validator.relatedcondition.MTRACEactPCMDReportingValidator,24.59%,46,15,23,7
,,com.hahaqu.em.bts.common.commissioning.view.eqview.EACSettingsSystemEQView,100.00%,0,9,0,2
,,com.hahaqu.em.bts.common.commissioning.view.eqview.EACSettingsRadioEqView,100.00%,0,11,0,2
,,com.hahaqu.em.bts.common.commissioning.view.eqview.EACSettingsFHSEqView,22.22%,7,2,1,1
,,com.hahaqu.em.bts.gui.lte.commissioning.model.scfprocessor.LTEEACSettingsSCFProcessor,34.62%,187,99,13,16
,,com.hahaqu.em.bts.gui.lte.commissioning.model.scfprocessor.LTEEACFHSSettingsSCFProcessor,20.83%,19,5,3,3
,,com.hahaqu.em.bts.gui.lte.commissioning.model.scfprocessor.LTEEACRadioSettingsSCFProcessor,72.73%,9,24,2,4
,,com.hahaqu.em.bts.common.commissioning.model.EACSettingsTableModel,78.08%,16,57,3,14
,,com.hahaqu.em.bts.common.commissioning.model.EACSettingsRadioTableModel,63.36%,48,83,3,8
,,com.hahaqu.em.bts.common.commissioning.model.EACSettingsUIModel$TableSelectionListener,90.00%,1,9,0,2
,,com.hahaqu.em.bts.common.commissioning.model.EACSettingLine$LineType,100.00%,0,2,2,2
,,com.hahaqu.em.bts.common.commissioning.model.EACSettingsModel,53.17%,281,319,37,56
,,com.hahaqu.em.bts.common.commissioning.model.EACSettingsAlarmsTableModel,55.56%,56,70,3,7
,,com.hahaqu.em.bts.common.commissioning.model.EACSettingsUIModel,97.37%,2,74,0,14
,,com.hahaqu.em.bts.common.commissioning.model.EACSettingsModel$EACSettingLineComparator,100.00%,0,10,0,2
,,com.hahaqu.em.bts.common.commissioning.model.EACSettingLine,54.39%,26,31,8,16
,,com.hahaqu.em.bts.common.commissioning.model.EACSettingsControlsTableModel,49.38%,41,40,2,7
,,com.hahaqu.em.bts.common.commissioning.test.EACFunctionalityTest$1,100.00%,0,3,0,2
,,com.hahaqu.em.bts.common.commissioning.test.EACFunctionalityTest,44.07%,33,26,11,6
,,com.hahaqu.em.bts.common.eac.snapshot.EACSnapshotHandler,0.00%,176,0,16,0
,,com.hahaqu.em.bts.common.eac.snapshot.EACTestSnapshotHandler,0.00%,13,0,3,0
,,com.hahaqu.em.bts.common.eac.snapshot.EACStateSnapShotHandler,0.00%,3,0,2,0
,,com.hahaqu.em.bts.common.commissioning.model.validator.EACModelValidator,36.36%,77,44,4,8
,,com.hahaqu.em.bts.common.hwmodel.EACLineModel,14.75%,52,9,19,3
,,com.hahaqu.em.bts.common.hwmodel.EACUnitModel,56.52%,10,13,8,6
,,com.hahaqu.em.bts.common.hwmodel.EACControlLineModel,22.58%,24,7,9,3
,,com.hahaqu.em.bts.common.hwmodel.EACAlarmLineModel,10.94%,57,7,14,3
,,com.hahaqu.em.bts.common.hwmodel.EACLineModel$SendingProgress,100.00%,0,6,2,2
,,com.hahaqu.em.bts.gui.lte.commissioning.model.holder.LTEActMBMSHelper,0.00%,45,0,19,0
,,com.hahaqu.em.bts.common.component.siteinfo.model.EACSettingsSiteInfoModel$EACSettingLineComparator,0.00%,7,0,2,0
,,com.hahaqu.em.bts.common.component.siteinfo.model.EACSettingsSiteInfoModel,0.00%,97,0,12,0
,,com.hahaqu.em.bts.common.component.siteinfo.model.EACSettingsSiteInfoModel$EACSupport,0.00%,6,0,3,0
,,com.hahaqu.em.bts.common.commissioning.view.EACSettingsRadioView$1,20.00%,4,1,1,1
,,com.hahaqu.em.bts.common.commissioning.view.EACSettingsView$AlarmTableColumnModelListner,71.43%,2,5,2,4
,,com.hahaqu.em.bts.common.commissioning.view.EACSettingsView$1,20.00%,4,1,1,1
,,com.hahaqu.em.bts.common.commissioning.view.EACSettingsRadioView,100.00%,0,26,0,3
,,com.hahaqu.em.bts.common.commissioning.view.EACSettingsSystemView,47.83%,12,11,0,4
,,com.hahaqu.em.bts.common.commissioning.view.EACSettingsView,90.36%,19,178,3,16
,,com.hahaqu.em.bts.common.commissioning.view.EACSettingsView$ControlTableColumnModelListner,42.86%,4,3,3,3
,,com.hahaqu.em.bts.common.commissioning.view.EACSettingsFHSView,8.70%,21,2,3,1
,,com.hahaqu.em.bts.common.eac.controller.EACTestController,0.00%,122,0,14,0
,,com.hahaqu.em.bts.common.eac.controller.EACStatusController,0.00%,32,0,6,0
,,com.hahaqu.em.bts.common.eac.controller.EACTestController$MyReportTableModel,0.00%,11,0,5,0
,,com.hahaqu.em.bts.common.eac.view.EACView,0.00%,273,0,25,0
,,com.hahaqu.em.bts.common.eac.view.EACTestView,0.00%,39,0,3,0
,,com.hahaqu.em.bts.common.eac.view.EACTestView$1,0.00%,3,0,2,0
,,com.hahaqu.em.bts.common.eac.view.EACProgressCellRenderer,0.00%,25,0,2,0
,,com.hahaqu.em.bts.common.eac.view.EACView$2,0.00%,6,0,2,0
,,com.hahaqu.em.bts.common.eac.view.EACView$1,0.00%,3,0,2,0
,,com.hahaqu.em.bts.common.eac.view.EACProgressCellRenderer$CellImageObserver,0.00%,7,0,2,0
,,com.hahaqu.em.bts.common.eac.view.EACCheckBoxHeaderRenderer,0.00%,6,0,2,0
,,com.hahaqu.em.bts.common.eac.view.EACStatusView,0.00%,31,0,2,0
,,com.hahaqu.em.bts.common.commissioning.controller.EACSettingsFHSController,40.74%,16,11,3,2
,,com.hahaqu.em.bts.common.commissioning.controller.EACSettingsSystemController,84.00%,4,21,2,3
,,com.hahaqu.em.bts.common.commissioning.controller.EACSettingsController,50.00%,6,6,2,2
